Title,href,basic_info,concise_abstract
Management across cultures: Developing global competencies,https://books.google.com/books?hl=zh-CN&lr=&id=OHMhAwAAQBAJ&oi=fnd&pg=PR1&dq=global%2Bcompetence&ots=ykDmAGUDao&sig=G-oiwHuffG6fouAqkfT_nS5cxs0,"RM Steers, L Nardon, CJ Sanchez-Runde - 2013 - books.google.com","… global teams. With a clear emphasis on learning and development, the text encourages 
students to acquire skills in multicultural competence … , all managers are global managers and …"
Global leadership competencies: a review and discussion,https://www.emerald.com/insight/content/doi/10.1108/03090590510591085/full/html,"T Jokinen - Journal of European industrial training, 2005 - emerald.com","… I hope all these issues, together with the more integrative framework of global 
competencies provided in this paper, will stimulate curiosity and further research in this area. …"
Strategies for development of life skills and global competencies,https://www.academia.edu/download/103274889/June_2015_1433339948__242.pdf,"H Singh, M Gera - International journal of scientific research, 2015 - academia.edu","… Helping students develop a perfect importance of life skills in light of modern global … 
global competencies in helping students develop a perfect fit. Because success is perfect fit. …"
What is competence?,https://www.tandfonline.com/doi/abs/10.1080/1367886042000338227,"FD Le Deist, J Winterton - Human resource development …, 2005 - Taylor & Francis","This paper explores the definitions and usage of competence, especially in the context … 
competences within a holistic competence typology. One-dimensional frameworks of competence …"
Cross cultural competence: A field guide for developing global leaders and managers,https://books.google.com/books?hl=zh-CN&lr=&id=b9U2CAAAQBAJ&oi=fnd&pg=PP1&dq=global%2Bcompetence&ots=yASlTl4RQu&sig=mMqTJtFuQId_HO-z8hUaIZ5Lns0,"SL Dolan, KM Kawamura - 2015 - books.google.com","… We created action plans to guide the ongoing development of global competence, during 
and after the workshop. We have also integrated global competence theories, concepts, …"
Developing global managers' competencies using the fuzzy DEMATEL method,https://www.sciencedirect.com/science/article/pii/S0957417405003593,"WW Wu, YT Lee - Expert systems with applications, 2007 - Elsevier","… Thus here arises the imperative issue of how to enrich global manager competencies by 
way of segmenting a set of competencies into some portions in order to effectively facilitate …"
Exploring the glocal competence of students through the Global Leadership Center: A qualitative case study on the lived experience of graduates,https://rave.ohiolink.edu/etdc/view?acc_num=ohiou1522961048449413,K Ayitey - 2018 - rave.ohiolink.edu,"The purpose of this study was to understand the meaning of glocal competence through the 
lived experiences of alumni from the Global Leadership Center (GLC) at a Midwestern …"
The core competence of the corporation,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780080509778-4&type=chapterpdf,"CK Prahalad, G Hamel - Knowledge and strategy, 2009 - api.taylorfrancis.com","… We believe an obsession with competence building will characterize the global winners of 
the 1990s. With the decade underway the time for rethinking the concept of the corporation is …"
Educating for global competency,https://www.oecd.org/naec/Education_for_Global_Competence_BOIX_MANSILLA.pdf,"VB Mansilla, A Jackson - New York: Asia Society. Retrieved from: http …, 2011 - oecd.org","… … is the capacity to examine global and intercultural issues, to take multiple perspectives 
under a shared respect for human rights, to engage in open, appropriate and effective …"
Cross-cultural competence in international business: Toward a definition and a model,https://link.springer.com/article/10.1057/palgrave.jibs.8400205,"JP Johnson, T Lenartowicz, S Apud - Journal of international business …, 2006 - Springer","… from an economic recession have all given added impetus to flows of global trade and 
investment. Increased global activity has led firms around the world – often in collaboration with …"
