text,label
I need to retrieve 10 papers on the impact of parental involvement in education from Google Scholar,Education
"Please find 10 papers on online learning effectiveness, no year restriction, crawl from ERIC",Education
"Can you get 10 papers about the role of assessments in student learning, focusing on recent trends, from Google Scholar?",Education
Investigate the relationship between socioeconomic status and educational outcomes; I'm looking for 10 papers published in the last 5 years from JSTOR,Education
"I'm interested in 8 papers on the implementation of inclusive education practices in primary schools, crawling from Google Scholar without any year restrictions",Education
"Please retrieve 10 papers discussing the application of gamification in education, with a preference for publications from 2021, sourced from IEEE",Education
"Find 10 papers on teacher training programs and their effectiveness in improving classroom practices, with no year restrictions, using JSTOR as the source",Education
"I need to retrieve 10 papers on linguistic challenges in multicultural classrooms, looking for recent findings from Google Scholar",Education
"Looking for 10 papers that evaluate the use of technology in higher education, especially in remote learning scenarios, published after 2020, from ERIC",Education
"Can you find 10 papers that discuss the role of emotional intelligence in teaching and learning, focusing on practical applications and strategies, sourced from Springer?",Education
Please retrieve 10 papers on neural networks and deep learning from IEEE Xplore,Computer_Science
"Search for 10 papers on cybersecurity measures in cloud computing, no year restriction, from Google Scholar",Computer_Science
"I am looking for 10 recent papers on natural language processing advancements from arXiv, preferably published after 2021",Computer_Science
"Please find 10 papers discussing the applications of quantum computing, published in the last 5 years from IEEE Xplore",Computer_Science
"Research on the impact of AI in healthcare, find 10 papers from PubMed, year of publication not restricted",Computer_Science
"I need to retrieve 10 papers on the latest trends in software engineering practices from ACM Digital Library, no constraints on publication year",Computer_Science
"Please find 8 papers focused on the ethics of artificial intelligence, ideally published after 2018 from Google Scholar",Computer_Science
"Conduct a comprehensive search on the advancements in computer graphics rendering techniques, find 10 papers from IEEE Xplore, with no year restriction",Computer_Science
"Search for 6 papers examining the role of big data analytics in business intelligence, preferably published in the last 3 years from Google Scholar",Computer_Science
"I would like to gather insights on the evolution of programming languages, find 10 papers published within the last 5 years from arXiv, no particular focus on publication year",Computer_Science
"I need 10 papers on the efficacy of mRNA vaccines from PubMed, no year restriction",Medicine
"Retrieve 10 recent studies on mental health interventions in adolescents from Google Scholar, published after 2019",Medicine
"Find 10 papers on the management of diabetes in elderly patients from PubMed, published after 2021",Medicine
"Looking for comprehensive research on the relationship between gut microbiome and autoimmune diseases. Please retrieve 10 papers from PubMed, with no restrictions on publication year.",Medicine
"I want 10 papers on telemedicine applications in primary care, no year constraint, sourced from Google Scholar",Medicine
"Find 10 studies examining the long-term effects of COVID-19 on cardiovascular health, published after 2022 from PubMed",Medicine
"Please retrieve 10 articles on advancements in surgical techniques for orthopedic injuries from Google Scholar, with no restrictions on publication year",Medicine
"Investigate the role of nutrition in cancer prevention. I need 10 research papers from PubMed, published after 2020",Medicine
"I am looking for 10 papers that analyze the impact of health disparities on access to care in underserved communities from Google Scholar, published in the last 5 years",Medicine
"Please gather 10 studies on the psychological impacts of chronic illness management in patients, focusing on anxiety and depression. Use PubMed as the source, with no restrictions on publication year.",Medicine
Please retrieve 10 papers examining the role of women in Victorian literature from Google Scholar,Literature
"Find 10 papers on the use of intertextuality in contemporary poetry, with no restrictions on publication year from JSTOR",Literature
"Research the impact of colonialism on postcolonial literature, retrieving 5 papers, no year restriction from Google Scholar",Literature
"Explore the themes of identity and dislocation in diasporic authors, find 8 papers published after 2018 from JSTOR",Literature
"Detailed analysis of the evolution of the novel form in the 21st century, retrieve 12 papers, no year restriction from Google Scholar",Literature
Please find 10 papers discussing magical realism in Latin American fiction from JSTOR,Literature
"Investigate the portrayal of mental illness in 19th-century literature, retrieve 6 papers, no year restriction from Google Scholar",Literature
"Research on environmental themes in contemporary literature, retrieve 10 papers published after 2015 from JSTOR",Literature
"Comprehensive study of existential themes in the works of Franz Kafka, find 5 papers, no year restriction from Google Scholar",Literature
"Explore the influence of the Harlem Renaissance on modern African American literature, retrieve 7 papers, published after 2020 from JSTOR",Literature
"I need to retrieve 10 papers on biodiversity conservation strategies from Google Scholar, no year restriction",Other
"Research on the economic impacts of tourism development, find 5 papers, no year restriction from JSTOR",Other
"Studies on the effects of climate change on agricultural productivity, retrieve 8 papers from Google Scholar, published after 2018",Other
"An in-depth examination of the role of non-governmental organizations in humanitarian aid, retrieve 10 papers, no year restriction from JSTOR",Other
"I am looking for 7 papers that discuss advancements in sustainable architecture, published after 2021, from Google Scholar",Other
"Investigate the psychological effects of social media on adolescents; please retrieve 6 papers, with no year restriction, from JSTOR",Other
